title,domain,country,date_start,date_end,outcome_pro_pct,outcome_source,outcome_type,notes
Referendum costituzionale Italia 2016 (Renzi),political,IT,2016-09-01,2016-12-04,40.9,https://elezionistorico.interno.gov.it/index.php?tpel=F&dession=1480806000,referendum,Pro = SI (approve constitutional reform). Official result: SI 40.89% NO 59.11%. Turnout 65.5%.
Elezioni presidenziali Francia 2017 secondo turno (Macron vs Le Pen),political,FR,2017-04-01,2017-05-07,66.1,https://www.conseil-constitutionnel.fr/decision/2017/20170510resultatsEN.htm,election,Pro = Macron. Official result: Macron 66.10% Le Pen 33.90%. Turnout 74.6%.
Referendum indipendenza Catalunya 2017,political,ES,2017-09-01,2017-10-01,92.0,https://www.govern.cat/govern/docs/2017/10/06/15/20/c4810c41-1e4e-43e1-a5e4-2d8bcfa8d9ba.pdf,referendum,Pro = SI (independence). 92% YES but only 43.03% turnout; referendum declared unconstitutional by Spanish courts. Contested legitimacy.
Elezioni midterm USA 2018 (House popular vote),political,US,2018-09-01,2018-11-06,53.4,https://clerk.house.gov/member_info/electionInfo/2018election.pdf,election,Pro = Democratic Party House vote share. Democrats won ~53.4% of national House popular vote vs ~44.8% Republican.
Elezioni europee 2019 Italia (Lega),political,IT,2019-03-01,2019-05-26,34.3,https://elezionistorico.interno.gov.it/index.php?tpel=E&dession=1558825200,election,Pro = Lega. Official result: Lega 34.33%. Highest single-party result in 2019 European elections in Italy.
Elezioni presidenziali USA 2020 (popular vote),political,US,2020-06-01,2020-11-03,51.3,https://www.fec.gov/resources/cms-content/documents/federalelections2020.pdf,election,Pro = Biden. Official result: Biden 51.31% Trump 46.85%. Popular vote margin ~4.5 points.
Referendum aborto Irlanda 2018 (36th Amendment),political,IE,2018-03-01,2018-05-25,66.4,https://www.refcom.ie/previous-referendums/thirty-sixth-amendment/,referendum,Pro = YES (repeal 8th amendment / allow abortion). Official result: YES 66.40% NO 33.60%. Turnout 64.1%.
Elezioni presidenziali Brasile 2022 secondo turno (Lula vs Bolsonaro),political,BR,2022-08-01,2022-10-30,50.9,https://resultados.tse.jus.br/oficial/app/index.html#/eleicao/resultados,election,Pro = Lula. Official result: Lula 50.90% Bolsonaro 49.10%. Tightest second round since re-democratization.
Referendum divorzio Malta 2011,political,MT,2011-03-01,2011-05-28,53.2,https://electoral.gov.mt/ElectionResults,referendum,Pro = YES (introduce divorce). Official result: YES 53.2% NO 46.8%. First divorce legislation in Malta.
SVB collapse March 2023 (banking sector confidence),financial,US,2023-02-01,2023-04-30,38.0,NEEDS_VERIFICATION,survey,Pro = confidence in banking sector stability. Gallup April 2023 showed only ~38% of Americans were confident in banks (dropped from ~48% pre-crisis). Approximate figure needs primary source verification.
FTX crypto crisis November 2022 (crypto market sentiment),financial,US,2022-10-01,2022-12-31,22.0,NEEDS_VERIFICATION,survey,Pro = positive sentiment toward crypto market. Pew Research Dec 2022 showed ~22% of US adults viewed crypto favorably post-FTX collapse (down from ~33%). Approximate figure needs verification.
AMC short squeeze 2021 (retail investor sentiment),financial,US,2021-01-01,2021-06-30,62.0,NEEDS_VERIFICATION,survey,Pro = support for retail investor activism / meme stocks. Survey data limited; Morning Consult Jan 2021 showed ~62% of retail investors had positive view of the movement. Approximate.
Tesla stock split August 2020 (investor sentiment),financial,US,2020-07-01,2020-09-30,72.0,NEEDS_VERIFICATION,survey,Pro = positive investor sentiment on Tesla. Morning Consult brand tracking showed ~72% favorable among investors around stock split. Approximate figure.
Archegos Capital collapse March 2021 (market impact),financial,US,2021-02-01,2021-05-31,35.0,NEEDS_VERIFICATION,survey,Pro = confidence in prime brokerage / risk management. No reliable public poll; estimated ~35% institutional confidence in counterparty risk management post-event. Highly approximate.
United Airlines passenger dragging incident 2017,corporate,US,2017-04-01,2017-06-30,28.0,NEEDS_VERIFICATION,survey,Pro = favorable view of United Airlines. Morning Consult brand tracking showed favorability dropped to ~28% immediately after incident (from ~36%). Approximate figure.
Facebook Meta rebrand October 2021 (public sentiment on metaverse),corporate,US,2021-09-01,2022-01-31,26.0,NEEDS_VERIFICATION,survey,Pro = positive sentiment toward Meta/metaverse pivot. Morning Consult showed ~26% positive, majority skeptical. Approximate figure.
Twitter X acquisition by Elon Musk 2022,corporate,US,2022-04-01,2022-11-30,41.0,NEEDS_VERIFICATION,survey,Pro = support for Musk acquisition of Twitter. YouGov Oct 2022 showed ~41% of Americans had favorable view of the acquisition. Approximate.
Vaccine hesitancy USA 2021 (COVID vaccination acceptance),public_health,US,2021-01-01,2021-07-31,67.0,https://www.kff.org/coronavirus-covid-19/poll-finding/kff-covid-19-vaccine-monitor-july-2021/,survey,Pro = willing to get vaccinated or already vaccinated. KFF COVID-19 Vaccine Monitor July 2021: ~67% vaccinated or willing. 29% wait-and-see or refuse.
Monkeypox public concern USA 2022,public_health,US,2022-05-01,2022-09-30,47.0,NEEDS_VERIFICATION,survey,Pro = concerned about monkeypox / support public health response. KFF Aug 2022 Health Tracking Poll showed ~47% somewhat or very concerned. Approximate figure.
Masking mandate debate USA 2021 (support for mask mandates),public_health,US,2021-03-01,2021-09-30,63.0,https://www.pewresearch.org/short-reads/2021/09/15/more-americans-say-they-are-regularly-wearing-masks-in-stores-and-other-businesses/,survey,Pro = support mask mandates in public places. Pew Research Sep 2021: ~63% of US adults favored requiring masks in businesses. Down from ~76% in June.
